user_id,file_id,sentence_length,rating,pred_rating
46,2,9.64,1,1.52
47,2,16.5,1,2.16
48,2,11.56,1,2.03
49,2,16.0,1,1.82
50,2,14.89,5,3.87
51,2,22.0,5,1.78
52,2,17.11,1,1.22
53,2,16.5,5,2.16
54,2,13.0,1,1.41
55,2,12.25,5,3.69
56,2,19.24,2,3.58
57,2,31.0,1,1.78
58,2,22.0,3,1.78
59,2,16.0,5,1.82
60,2,12.74,4,3.28
61,2,19.04,5,3.18
62,2,23.6,1,2.54
63,2,121.0,5,2.59
64,2,17.33,4,2.0
65,2,15.33,3,1.71
66,2,18.33,3,3.15
67,2,21.43,5,4.17
68,2,7.92,4,2.0
69,2,17.55,1,1.62
70,2,11.77,4,3.27
71,2,14.94,4,3.41
72,2,6.0,1,1.25
73,2,12.09,1,1.73
74,2,22.0,1,1.78
75,2,14.0,4,2.37
0,3,27.0,3,2.17
1,3,19.36,4,3.26
2,3,18.67,1,2.2
3,3,20.82,5,4.05
4,3,22.0,1,1.78
5,3,15.5,1,1.29
6,3,11.11,2,2.76
7,3,16.57,2,2.58
8,3,16.04,1,1.48
9,3,18.0,4,2.99
10,3,13.14,1,1.24
11,3,23.14,4,2.91
12,3,19.29,4,3.45
13,3,10.0,1,2.23
14,3,25.4,2,3.56
15,3,16.89,5,3.8
16,3,12.36,1,3.28
17,3,12.0,4,4.08
18,3,20.71,4,3.9
19,3,19.5,1,1.23
20,3,12.31,2,3.26
21,3,20.0,4,3.23
22,3,17.79,3,2.62
23,3,21.78,4,3.94
24,3,19.0,1,2.24
25,3,9.25,5,3.94
26,3,14.52,4,2.39
27,3,17.67,1,1.89
28,3,14.05,2,2.12
29,3,15.33,1,1.71
30,3,15.78,4,2.22
31,3,19.83,2,1.9
32,3,11.5,4,2.66
33,3,15.43,5,1.27
34,3,20.67,2,3.9
35,3,12.18,1,1.97
36,3,22.8,2,2.49
37,3,20.5,1,1.6
38,3,21.5,3,4.17
39,3,15.18,1,1.99
40,3,9.6,1,1.56
41,3,18.5,1,1.35
42,3,11.62,1,2.17
43,3,17.59,2,1.82
44,3,17.0,2,1.19
45,3,16.86,2,3.39
46,3,17.5,5,1.77
47,3,17.0,1,1.19
48,3,29.5,2,1.88
49,3,13.25,1,1.95
50,3,15.0,1,2.11
51,3,22.0,4,1.78
52,3,18.57,4,2.14
53,3,16.5,1,2.16
54,3,14.33,3,1.88
55,3,13.39,4,3.15
56,3,17.38,1,1.26
57,3,28.0,1,2.32
58,3,22.0,1,1.78
59,3,20.5,2,1.6
60,3,17.48,2,1.76
61,3,12.27,5,3.88
62,3,10.89,1,1.57
63,3,11.65,5,3.1
64,3,22.0,4,1.78
65,3,22.0,1,1.78
66,3,22.29,4,4.22
67,3,19.0,4,2.24
68,3,16.69,3,2.93
69,3,15.18,2,1.99
70,3,16.12,1,1.99
71,3,18.55,4,2.14
72,3,16.0,4,1.82
73,3,13.13,1,1.24
74,3,21.38,1,2.66
75,3,9.56,4,2.88
0,4,18.67,2,2.2
1,4,25.85,4,3.18
2,4,16.27,1,3.17
3,4,21.16,5,3.17
4,4,18.0,1,2.99
5,4,20.5,1,1.6
6,4,14.91,3,3.77
7,4,18.0,2,2.99
8,4,16.84,3,3.39
9,4,19.43,4,3.77
10,4,12.5,5,3.22
11,4,15.6,1,2.02
12,4,20.72,4,3.9
13,4,18.5,1,1.35
14,4,16.5,1,2.16
15,4,15.14,5,4.1
16,4,17.0,1,1.19
17,4,11.67,4,3.15
18,4,20.71,3,3.9
19,4,15.67,1,2.09
20,4,13.64,2,2.25
21,4,20.0,4,3.23
22,4,18.07,2,2.63
23,4,21.78,4,3.94
24,4,18.78,4,4.01
25,4,18.0,4,2.99
26,4,14.5,1,1.8
27,4,17.67,1,1.89
28,4,21.42,4,4.15
