user_id,file_id,rating,ll_orig,mean_ll_pert,std_ll_pert,curvature_z,n_perturb_used,pred_rating
0,0,4,-inf,-inf,0.0,0.0,0,3.45
1,0,1,-2.2447,-3.2811,0.241,4.301,8,1.35
2,0,1,-1.9142,-3.028,0.219,5.0857,8,1.43
3,0,5,-inf,-inf,0.0,0.0,0,3.45
4,0,1,-1.8526,-3.0878,0.329,3.7542,8,1.09
5,0,3,-1.9316,-3.009,0.1309,8.2312,8,2.4
6,0,4,-1.5616,-2.7341,0.2342,5.0073,8,3.08
7,0,4,-inf,-inf,0.0,0.0,0,3.45
8,0,2,-3.2314,-3.775,0.1443,3.7657,8,2.6
9,0,5,-1.6249,-2.6272,0.0882,11.3582,8,3.27
10,0,2,-1.965,-3.1459,0.123,9.6001,8,1.86
11,0,4,-1.4426,-2.5123,0.1693,6.3183,8,3.4
12,0,1,-2.1868,-3.0817,0.0809,11.0579,8,2.02
13,0,2,-2.4281,-3.3066,0.1618,5.4286,8,2.14
14,0,4,-1.8943,-3.0144,0.2827,3.9626,8,2.85
15,0,1,-1.6041,-2.435,0.192,4.3285,8,2.28
16,0,1,-1.4496,-2.5361,0.2012,5.4008,8,2.21
17,0,1,-1.9444,-3.14,0.3263,3.6643,8,1.12
18,0,4,-2.535,-3.1871,0.126,5.1748,8,2.72
19,0,5,-2.2944,-3.0402,0.0291,25.5948,8,3.6
20,0,1,-2.2507,-3.5609,0.1555,8.4254,8,1.17
21,0,1,-1.8877,-3.0795,0.231,5.1603,8,1.24
22,0,4,-1.7793,-3.1152,0.1795,7.443,8,1.94
23,0,4,-1.755,-2.9147,0.1456,7.965,8,3.43
24,0,1,-1.8296,-2.9086,0.3471,3.109,8,2.2
25,0,5,-inf,-inf,0.0,0.0,0,3.45
26,0,4,-2.0516,-3.1758,0.1682,6.6819,8,3.02
27,0,1,-1.8714,-2.8354,0.1457,6.6154,8,2.02
28,0,4,-1.9504,-3.0003,0.1844,5.6933,8,3.33
29,0,1,-2.176,-3.5411,0.2235,6.1078,8,1.41
30,0,1,-2.4029,-3.6036,0.1021,11.7607,8,2.34
