user_id,file_id,rating,combo_5_B__perp_token_curv_lex_disc__pred,avg_logprob,ppl,proportion_top10,proportion_top100,proportion_top1000,mean_rank,rank_entropy,curvature_z,ll_orig,mean_ll_pert,std_ll_pert,ttr,rttr,cttr,herdan_c,maas_a2,yules_k,mtld,hapax_ratio,dis_legomena_ratio,avg_word_len,total_connectives,connective_entropy,connective_density_per_100w,enumeration_count
37,1,5.0,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.444,10.3661,7.33,0.8712,0.0204,68.3444,105.318,0.5868,0.1818,4.8018,12.0,0.8167,2.2018,0.0
38,1,5.0,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4843,10.6004,7.4956,0.8825,0.019,62.1511,132.2853,0.5905,0.194,5.286,13.0,1.1451,2.714,0.0
39,1,4.0,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3802,8.7204,6.1663,0.8457,0.0246,192.355,46.8878,0.59,0.205,4.5894,5.0,-0.0,0.9506,0.0
40,1,4.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487,9.5428,6.7478,0.8791,0.0203,75.6836,112.603,0.615,0.1444,4.8021,5.0,0.7219,1.3021,0.0
41,1,5.0,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4579,9.2041,6.5083,0.8699,0.0217,91.2901,113.8593,0.5514,0.2108,5.1114,4.0,0.8113,0.9901,0.0
42,1,5.0,4.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5183,10.8234,7.6533,0.8919,0.0178,68.4917,109.7452,0.6372,0.1903,4.9312,7.0,1.1488,1.6055,0.0
43,1,5.0,4.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5065,10.8867,7.698,0.8891,0.0181,56.2208,170.5951,0.594,0.188,5.0368,13.0,0.9913,2.8139,0.0
44,1,4.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4833,10.2409,7.2414,0.8809,0.0195,114.4836,90.3031,0.6406,0.1797,4.6615,6.0,-0.0,1.3363,0.0
45,1,2.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.459,9.7472,6.8923,0.8726,0.0209,105.2109,78.2112,0.6473,0.1546,5.0643,8.0,0.5436,1.7738,0.0
46,1,5.0,4.61,-3.2413,25.5658,0.0353,0.313,0.695,1463.4623,3.9398,4.7899,-3.1435,-3.6327,0.1021,0.4493,9.1414,6.4639,0.8672,0.022,122.2899,68.0318,0.5753,0.2151,4.5556,6.0,0.65,1.4493,0.0
47,1,5.0,4.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4034,11.236,7.9451,0.8636,0.0205,63.8684,126.8179,0.5751,0.1661,4.9137,30.0,0.9816,3.866,0.0
48,1,4.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4519,11.289,7.9826,0.8766,0.0192,95.9998,119.0793,0.6454,0.156,5.2051,33.0,0.1959,5.2885,0.0
