user_id,file_id,rating,combo_11_E__add_perp_token_ner_disc__pred,cosine_sim,norm_gap,nli_mean_entail,nli_mean_contra,content_vs_function_ratio,pos_entropy,verbs_per_sentence,flesch_reading_ease,fk_grade_level,ttr,mtld,yules_k,avg_tree_depth,avg_dep_distance,entity_continuity,role_transitions,vader_compound,tb_subjectivity,sentence_length,avg_logprob,ppl,proportion_top100,entity_density,entity_label_entropy,connective_entropy,connective_density_per_100w
22,0,5.0,4.33,0.0,0.0,0.0,0.0,4.2222,2.9713,2.45,48.3364,12.202,0.4702,81.9647,115.5895,5.55,3.116,0.3984,0.2847,0.9879,0.5393,453.0,0.0,0.0,0.0,0.2151,2.2317,1.0,1.766
23,0,4.0,3.91,0.6065,0.0,0.0,0.0,7.5862,2.7821,2.3,-166.7988,93.9113,0.5814,91.0846,130.4008,5.1,3.2612,0.2472,0.2955,0.9761,0.5063,258.0,-2.8489,17.268,0.2715,0.0942,1.7892,0.9183,1.1628
24,0,4.0,3.76,-0.0938,0.0,0.0157,0.5196,5.5526,2.8509,1.6,52.6751,13.7554,0.4941,64.4332,159.3233,5.3,3.9777,0.4048,0.0686,0.9836,0.3815,255.0,-2.6714,14.4599,0.2773,0.1364,1.995,-0.0,0.7843
25,0,5.0,4.05,0.0,0.0,0.0,0.0,8.193,2.8183,4.7857,18.4176,25.0061,0.4197,91.0489,116.815,6.0,3.2065,0.4276,0.3178,0.9861,0.5037,548.0,0.0,0.0,0.0,0.2297,2.0694,-0.0,0.7299
26,0,5.0,4.73,0.0,0.0,0.0,0.0,4.3902,3.0802,2.913,42.3422,14.1175,0.3544,112.4779,75.4618,4.2609,3.765,0.7594,0.1331,0.999,0.4922,697.0,0.0,0.0,0.0,0.1211,2.2211,1.3996,2.1521
27,0,3.0,3.52,0.0,0.0,0.0,0.0,4.6875,2.7604,1.0,47.5749,9.6453,0.3679,101.7524,90.106,4.5517,2.848,0.4286,0.2387,0.9977,0.5189,685.0,0.0,0.0,0.0,0.1045,2.1603,0.5907,2.7737
28,0,3.0,3.56,0.0,0.0,0.0,0.0,4.4295,2.9369,5.8462,-29.6506,43.7993,0.237,44.3139,161.6583,7.2308,4.1573,0.7398,0.1986,0.9971,0.5003,924.0,0.0,0.0,0.0,0.225,1.9355,0.7219,1.0823
29,0,4.0,4.13,0.0,0.0,0.0,0.0,4.7595,2.9055,2.6875,35.4242,17.6909,0.4263,61.3461,156.4762,6.0,3.3264,0.4328,0.1771,0.9916,0.5223,509.0,0.0,0.0,0.0,0.2149,1.6801,0.8631,1.3752
30,0,4.0,4.18,0.0,0.0,0.0,0.0,4.6495,2.9343,1.6154,10.3089,25.899,0.4806,132.1999,72.0238,5.4615,3.1269,0.4096,0.1508,0.9686,0.4407,541.0,0.0,0.0,0.0,0.0943,2.274,0.5917,1.2939
31,0,5.0,3.98,0.0,0.0,0.0,0.0,7.94,2.831,2.0952,39.0704,16.708,0.4172,91.7197,98.231,5.1905,4.0179,0.4921,0.2289,0.9661,0.5089,465.0,0.0,0.0,0.0,0.1886,1.933,0.8113,1.7204
32,0,5.0,4.85,0.0,0.0,0.0,0.0,4.7318,2.9203,2.1795,37.3534,15.8085,0.369,103.1731,61.813,4.5897,2.9533,0.4718,0.2058,0.9992,0.4496,1038.0,0.0,0.0,0.0,0.1257,2.0455,0.9918,1.9268
33,0,4.0,4.54,0.0,0.0,0.0,0.0,4.3172,3.1188,1.1791,45.5483,10.3336,0.4626,129.8342,54.3478,4.0597,2.5471,0.4,0.2765,0.9936,0.4567,828.0,0.0,0.0,0.0,0.1194,2.3483,0.8077,2.7778
34,0,5.0,4.75,0.0,0.0,0.0,0.0,7.08,2.7696,3.1111,8.8812,27.0091,0.4937,150.0426,57.484,7.0,3.8396,0.4887,0.1617,0.9926,0.4659,397.0,0.0,0.0,0.0,0.1458,2.303,0.5917,1.7632
35,0,4.0,4.03,0.6171,0.0,0.0658,0.1391,5.8372,2.8413,1.9091,7.7173,29.1381,0.5079,101.2343,84.7854,5.6364,3.6419,0.3654,0.2051,0.9098,0.4928,317.0,-3.2472,25.7176,0.2977,0.1832,1.9413,-0.0,1.8927
36,0,5.0,4.65,0.0,0.0,0.0,0.0,6.4545,2.7632,2.7333,24.5871,19.4441,0.5061,115.9005,62.2776,5.8667,3.7455,0.3806,0.1783,0.9941,0.2763,411.0,0.0,0.0,0.0,0.1381,2.1943,0.5917,1.7032
37,0,5.0,4.73,0.0,0.0,0.0,0.0,4.4494,2.9889,2.7,29.9925,17.3451,0.4866,112.1627,70.9032,4.95,3.1255,0.4336,0.2558,0.9984,0.5372,522.0,0.0,0.0,0.0,0.1192,1.8601,0.9913,2.4904
38,0,4.0,4.02,0.0,0.0,0.0,0.0,5.431,2.8744,1.3913,39.7988,14.3393,0.5441,144.2406,64.5902,4.913,2.9566,0.3404,0.1951,0.9906,0.4507,397.0,0.0,0.0,0.0,0.137,1.8666,0.9183,0.7557
39,0,2.0,4.17,0.0,0.0,0.0,0.0,8.4286,2.7409,3.0909,10.1679,26.3919,0.4946,118.5528,67.4037,6.3636,4.3949,0.4294,0.1538,0.9042,0.4685,467.0,0.0,0.0,0.0,0.1423,1.9081,0.7642,1.9272
40,0,4.0,4.02,0.0,0.0,0.0,0.0,6.0769,2.7807,7.6667,-37.8619,47.1923,0.4262,53.186,141.3832,7.6667,4.5394,0.375,0.1871,0.9455,0.5361,420.0,0.0,0.0,0.0,0.2822,1.8908,0.8631,1.6667
