user_id,file_id,perplexity,rating,pred_rating
0,0,12.408,4,4.19
1,0,3.187,4,3.59
2,0,20.051,4,4.51
3,0,8.128,5,2.72
4,0,12.762,5,4.29
5,0,12.166,4,3.08
6,0,22.355,4,4.08
7,0,7.216,5,4.91
8,0,22.289,3,3.77
9,0,13.778,4,3.63
10,0,23.28,3,3.81
11,0,12.856,3,3.93
12,0,13.551,5,3.96
13,0,13.392,1,3.42
14,0,17.089,5,4.26
15,0,10.722,5,3.77
16,0,5.385,4,4.11
17,0,4.903,4,4.47
18,0,11.165,4,4.17
19,0,6.371,5,4.71
20,0,12.249,5,4.64
21,0,17.326,4,3.95
22,0,14.263,5,4.0
23,0,11.452,4,4.0
24,0,9.357,4,4.16
25,0,15.191,5,3.63
26,0,4.435,5,4.12
27,0,4.689,3,3.81
28,0,4.224,3,3.64
29,0,17.526,4,4.01
30,0,11.52,4,4.63
31,0,11.035,5,4.28
32,0,9.366,5,4.39
33,0,7.026,4,4.98
34,0,16.47,5,4.44
35,0,15.713,4,4.38
36,0,17.823,5,4.67
37,0,23.626,5,4.28
38,0,22.845,4,4.22
39,0,11.99,2,3.5
40,0,12.264,4,4.51
41,0,14.666,5,4.26
42,0,11.798,5,3.98
43,0,15.231,5,3.42
44,0,14.709,2,3.83
45,0,7.968,2,2.81
46,0,12.458,5,4.52
47,0,5.767,4,4.3
48,0,19.556,4,4.01
49,0,20.16,5,4.52
50,0,10.041,4,3.69
51,0,6.343,4,4.39
52,0,24.915,4,3.95
53,0,16.726,5,3.57
54,0,6.877,5,4.94
55,0,8.178,5,2.72
56,0,24.455,5,4.51
57,0,17.701,5,4.74
58,0,10.213,2,3.6
59,0,5.765,4,4.3
60,0,18.094,4,4.37
61,0,6.883,5,4.95
62,0,9.874,4,4.2
63,0,14.305,5,4.03
64,0,6.532,5,4.78
65,0,11.69,4,4.0
66,0,10.855,4,3.98
67,0,8.544,4,4.46
68,0,17.396,4,3.87
69,0,5.289,4,4.28
70,0,5.848,5,4.83
71,0,15.798,5,4.41
72,0,4.163,5,3.63
73,0,18.483,4,4.16
74,0,4.937,5,4.68
75,0,10.88,4,4.04
0,1,23.881,4,4.28
1,1,21.34,4,3.3
2,1,12.485,2,4.52
3,1,8.5,5,4.72
4,1,16.702,2,2.98
5,1,9.925,4,4.03
6,1,19.269,4,4.03
7,1,8.753,4,4.39
8,1,19.303,3,4.03
9,1,8.94,3,3.74
10,1,9.115,4,3.8
11,1,18.265,4,4.24
12,1,12.682,5,4.13
13,1,6.881,5,4.95
14,1,15.605,5,4.27
15,1,25.089,4,3.86
16,1,7.729,4,3.82
17,1,48.229,4,4.4
18,1,11.266,3,3.68
19,1,11.517,5,4.76
20,1,10.35,5,4.16
21,1,91.493,4,4.17
22,1,21.487,4,4.17
23,1,12.394,4,4.19
24,1,7.315,4,4.42
25,1,12.306,3,4.52
26,1,7.305,4,4.42
27,1,8.193,3,2.72
28,1,14.479,3,4.38
29,1,25.129,4,3.77
30,1,16.769,3,3.58
31,1,28.164,4,4.03
32,1,7.455,5,4.21
33,1,8.389,5,4.81
34,1,77.373,2,4.17
35,1,16.077,1,2.83
36,1,13.289,4,3.75
37,1,21.21,5,3.64
38,1,14.774,5,4.11
39,1,8.947,4,3.72
40,1,16.919,4,3.71
41,1,13.142,5,4.48
42,1,14.642,5,4.23
43,1,18.717,5,4.69
44,1,18.463,4,4.17
45,1,13.719,2,3.55
46,1,13.697,5,4.06
47,1,5.839,5,4.83
48,1,10.004,4,3.88
49,1,14.25,4,4.0
50,1,10.974,5,4.12
51,1,11.808,4,3.98
52,1,14.852,4,4.1
53,1,17.699,5,4.74
54,1,4.865,5,4.42
55,1,6.804,4,4.22
56,1,11.294,4,3.52
57,1,9.49,4,4.12
58,1,9.585,2,2.45
59,1,3.88,3,3.59
60,1,5.957,4,4.24
61,1,12.507,5,4.56
62,1,14.131,4,3.9
63,1,9.51,5,4.09
64,1,6.728,5,4.2
65,1,23.488,4,4.24
66,1,11.847,4,3.94
67,1,11.456,4,4.04
68,1,6.077,4,4.52
69,1,5.43,4,4.11
70,1,6.158,5,4.71
71,1,15.321,5,3.43
72,1,7.05,5,4.98
73,1,21.768,4,3.86
74,1,8.06,3,2.75
75,1,18.581,5,4.45
0,2,44.148,5,4.4
1,2,17.691,5,4.74
2,2,9.955,4,4.01
3,2,8.904,5,4.55
4,2,13.154,5,4.46
5,2,14.181,4,3.9
6,2,19.56,4,3.92
7,2,13.665,4,4.01
8,2,19.303,3,4.03
9,2,13.832,4,3.63
10,2,16.973,3,3.71
11,2,15.392,4,3.79
12,2,15.735,5,4.53
13,2,11.339,2,3.41
14,2,12.233,5,4.63
15,2,14.313,4,4.05
16,2,5.287,2,4.28
17,2,16.584,2,3.25
18,2,3.907,4,3.65
19,2,5.772,5,4.74
20,2,18.93,5,4.96
21,2,91.493,4,4.17
22,2,18.796,4,4.64
23,2,12.394,4,4.19
24,2,14.646,4,4.23
25,2,12.036,4,3.5
26,2,16.774,4,3.76
27,2,11.55,4,4.02
28,2,21.129,3,3.85
29,2,22.998,4,3.9
30,2,31.568,4,3.68
31,2,23.97,4,4.29
32,2,6.345,4,4.39
33,2,8.876,5,4.55
34,2,20.96,5,4.41
35,2,15.278,2,2.48
36,2,17.915,4,4.0
37,2,18.864,5,4.96
38,2,11.023,4,4.27
39,2,8.053,2,2.77
40,2,21.254,2,2.92
41,2,12.363,5,4.51
42,2,14.357,4,4.06
43,2,21.479,5,4.21
44,2,21.678,4,3.92
45,2,15.926,2,2.94
46,2,19.341,5,4.35
47,2,6.113,5,4.7
48,2,10.004,4,3.88
49,2,22.766,5,4.61
50,2,12.616,5,4.42
51,2,16.52,5,4.41
52,2,39.116,4,4.12
53,2,19.653,5,4.89
54,2,4.339,4,4.01
55,2,11.493,5,4.77
56,2,9.332,4,3.98
57,2,19.114,5,4.9
58,2,9.585,2,2.45
59,2,30.242,4,3.7
60,2,11.773,4,3.99
61,2,7.178,5,4.91
62,2,17.058,4,4.11
63,2,10.342,5,4.17
64,2,14.929,5,4.22
65,2,25.554,3,2.75
66,2,16.83,4,3.8
67,2,13.079,4,4.16
68,2,25.801,4,3.46
69,2,6.729,4,4.06
70,2,24.656,3,4.0
71,2,19.087,5,4.92
72,2,24.591,5,4.49
73,2,12.064,3,3.09
74,2,9.081,4,3.83
75,2,5800.509,4,4.17
0,3,11.116,5,4.47
1,3,6.799,4,4.06
2,3,18.499,4,4.17
3,3,7.015,5,4.98
4,3,9.267,5,3.72
5,3,10.398,2,3.56
6,3,19.688,4,4.89
7,3,21.498,4,4.06
8,3,15.043,2,3.51
9,3,19.576,3,3.8
10,3,8.819,2,4.56
11,3,15.392,4,3.79
12,3,18.8,5,4.82
13,3,55.399,4,4.24
14,3,24.326,5,4.63
15,3,15.596,4,4.02
16,3,18.999,5,4.95
17,3,16.113,4,3.82
18,3,10.709,3,3.77
19,3,24.139,5,4.62
20,3,18.744,5,4.67
21,3,91.493,4,4.17
22,3,18.386,4,4.15
23,3,12.394,4,4.19
24,3,11.526,4,4.27
25,3,6.73,4,4.05
26,3,25.007,5,4.11
27,3,11.55,4,4.02
28,3,9.274,3,3.72
29,3,27.923,4,4.0
30,3,35.576,4,3.93
31,3,27.502,4,3.95
32,3,11.424,4,3.9
33,3,8.805,5,4.39
34,3,19.898,4,4.8
35,3,15.291,1,2.48
36,3,17.718,4,4.59
37,3,10.02,5,3.88
38,3,6.835,4,4.31
39,3,15.432,2,3.16
40,3,20.659,2,3.74
41,3,20.837,4,3.88
42,3,11.098,5,4.57
43,3,12.843,5,4.27
44,3,13.003,4,3.98
45,3,9.31,4,3.9
46,3,20.314,5,4.4
47,3,4.656,4,3.95
48,3,33.35,4,3.86
49,3,18.061,5,4.38
50,3,4.844,4,4.13
51,3,9.845,5,4.45
52,3,17.796,3,4.69
53,3,19.653,5,4.89
54,3,4.808,4,4.02
55,3,11.171,5,4.16
56,3,10.621,4,3.68
57,3,26.529,4,3.69
58,3,9.585,2,2.45
59,3,19.773,5,4.9
60,3,7.824,4,3.71
61,3,8.391,5,4.83
62,3,17.934,4,3.91
63,3,8.372,5,4.67
64,3,36.894,5,3.96
65,3,12.738,3,4.0
66,3,16.81,4,3.82
67,3,14.31,4,4.03
68,3,5.897,4,4.2
69,3,16.144,4,3.9
70,3,21.329,2,2.8
71,3,28.837,5,4.15
72,3,14.89,4,4.14
73,3,15.371,4,3.9
74,3,21.42,3,3.56
75,3,21.037,5,4.45
0,4,9.642,5,3.86
1,4,16.49,4,4.41
2,4,9.784,4,4.46
3,4,6.867,5,4.94
4,4,18.159,5,4.46
5,4,19.613,4,3.93
6,4,18.641,4,4.46
7,4,17.295,4,3.95
8,4,14.384,4,4.38
9,4,7.41,4,4.21
10,4,8.291,2,3.2
11,4,15.768,4,4.42
12,4,20.889,5,3.9
13,4,9.383,4,4.39
14,4,21.608,5,3.98
15,4,17.105,4,4.18
16,4,19.336,4,4.05
17,4,57.259,5,4.24
18,4,11.124,3,4.09
19,4,6.002,5,4.47
20,4,14.421,5,4.38
21,4,91.493,4,4.17
22,4,15.563,3,3.35
23,4,12.636,3,4.05
24,4,16.091,4,3.38
25,4,8.98,4,3.79
26,4,5.865,4,4.36
27,4,11.468,4,4.13
28,4,17.984,3,3.86
29,4,51.501,5,4.43
30,4,24.071,4,4.39
31,4,18.856,5,4.94
32,4,22.394,5,4.4
33,4,9.321,4,3.98
34,4,7.371,5,4.58
35,4,25.325,1,2.78
36,4,22.43,4,4.39
37,4,5.659,5,4.36
38,4,11.129,4,4.09
39,4,12.162,2,3.08
40,4,11.572,4,4.0
41,4,22.594,5,4.7
42,4,15.93,4,2.98
43,4,19.543,5,4.35
44,4,13.688,4,4.07
45,4,11.741,4,4.0
46,4,11.447,5,4.0
47,4,5.255,5,4.6
48,4,16.98,4,3.88
49,4,15.602,5,4.27
50,4,11.238,4,3.72
