user_id,file_id,rating,proportion_top10,proportion_top100,proportion_top1000,proportion_over1000,mean_rank,median_rank,rank_entropy,n_pred_tokens,pred_rating
42,4,4,0.7257,0.1552,0.0957,0.0233,94.58,1.0,1.2032,773,4.07
43,4,5,0.7169,0.1593,0.0949,0.0288,168.11,2.0,1.2363,590,4.6
44,4,4,0.7327,0.1675,0.0863,0.0135,58.77,1.0,1.1496,591,4.15
45,4,4,0.7546,0.1464,0.0884,0.0106,70.83,1.0,1.091,758,4.06
46,4,5,0.7784,0.1419,0.0688,0.0109,91.6,1.0,1.0179,916,3.9
47,4,5,0.7884,0.1403,0.055,0.0162,130.62,1.0,0.9946,1418,4.46
48,4,4,0.7179,0.1703,0.0971,0.0147,87.02,2.0,1.1941,546,3.94
49,4,5,0.7493,0.1367,0.0818,0.0322,175.88,2.0,1.1593,746,4.29
50,4,4,0.7815,0.1293,0.0721,0.0172,80.6,1.0,1.0337,874,4.01
51,4,4,0.7154,0.1707,0.0949,0.019,73.69,1.0,1.2119,738,4.07
52,4,2,0.6447,0.2064,0.117,0.0319,115.34,2.5,1.399,470,3.21
53,4,5,0.7092,0.1617,0.1033,0.0258,192.68,2.0,1.251,736,4.94
54,4,4,0.8073,0.1202,0.0606,0.0119,128.49,1.0,0.9378,1007,3.97
55,4,5,0.7853,0.1282,0.0734,0.013,78.9,1.0,1.0121,2301,4.83
56,4,4,0.7287,0.152,0.1051,0.0142,87.43,1.0,1.1746,704,4.18
57,4,4,0.7529,0.171,0.0688,0.0072,50.59,1.0,1.0611,1105,4.05
58,4,2,0.7873,0.1197,0.0831,0.0099,50.25,1.0,1.0022,710,2.2
59,4,4,0.7615,0.1348,0.0842,0.0194,85.72,1.0,1.1001,2470,4.62
60,4,3,0.7185,0.1513,0.1008,0.0294,112.02,1.0,1.2383,714,3.57
61,4,5,0.7267,0.1575,0.0911,0.0247,109.82,1.0,1.2013,1460,4.75
62,4,4,0.8079,0.1192,0.0649,0.0079,36.04,1.0,0.9259,755,3.89
63,4,5,0.7058,0.169,0.1027,0.0225,111.28,2.0,1.2486,3467,4.38
64,4,5,0.756,0.1642,0.0664,0.0134,64.06,2.0,1.0764,1340,4.33
65,4,4,0.7188,0.1725,0.0913,0.0174,108.61,1.0,1.1966,690,4.11
66,4,4,0.7201,0.1321,0.1069,0.0409,177.47,2.0,1.2603,318,3.74
67,4,4,0.7813,0.1262,0.0751,0.0174,57.91,1.0,1.0373,919,3.98
68,4,3,0.8296,0.0957,0.0557,0.0191,95.96,1.0,0.8886,575,3.24
69,4,4,0.7021,0.1537,0.1094,0.0349,207.11,2.0,1.2916,631,3.91
70,4,4,0.767,0.1332,0.0814,0.0185,66.76,1.0,1.0819,811,3.86
71,4,5,0.773,0.1336,0.0818,0.0115,74.65,1.0,1.0448,868,4.58
72,4,4,0.6866,0.1727,0.1156,0.0251,151.59,2.0,1.3031,718,3.79
73,4,3,0.7447,0.1457,0.0847,0.0249,121.56,1.0,1.1559,803,3.42
74,4,4,0.7297,0.1564,0.0946,0.0193,98.36,2.0,1.1821,518,3.87
75,4,5,0.721,0.1524,0.0976,0.029,160.06,2.0,1.2295,656,4.66
